Latitude (deg), Longitude (deg), Altitude (m), Distance horizontal (m), Velocity forward (m/s), Velocity lateral (m/s), Velocity down (m/s), Speed horizontal (m/s), Heading (deg), Pitch (deg), Roll (deg), Slip angle (deg), Angular rate forward (deg/s), Angular rate lateral (deg/s), Angular rate down (deg/s), Angular rate Xv (deg/s), Angular rate Yv (deg/s), Angular rate Zv (deg/s), Acceleration forward (m/s²), Acceleration lateral (m/s²), Acceleration down (m/s²), Acceleration Xv (m/s²), Acceleration Yv (m/s²), Acceleration Zv (m/s²)
42.23858351, -83.55772564, 186.019, 0.000, -0.01, -0.01, 0.00, 0.01, 82.971, 0.647, 1.661, 0.000, 0.48, -0.14, -0.15, 0.48, -0.15, -0.14, 0.052, 0.037, -9.693, 0.162, -0.244, -9.689
42.23858352, -83.55772565, 186.020, 0.003, -0.01, -0.01, 0.00, 0.02, 82.984, 0.663, 1.659, 0.000, -0.12, 0.25, 0.25, -0.13, 0.26, 0.24, -0.042, -0.022, -10.090, 0.075, -0.314, -10.085
42.23858353, -83.55772566, 186.020, 0.006, -0.01, -0.01, 0.00, 0.01, 82.985, 0.654, 1.666, 0.000, 0.39, -0.25, 0.08, 0.39, -0.25, 0.09, -0.047, -0.040, -9.671, 0.063, -0.321, -9.665
42.23858353, -83.55772567, 186.020, 0.009, -0.01, -0.01, 0.00, 0.01, 82.988, 0.658, 1.663, 0.000, 0.18, 0.90, -0.03, 0.18, 0.90, -0.06, 0.052, 0.023, -9.663, 0.163, -0.258, -9.658
42.23858354, -83.55772564, 186.020, 0.012, 0.03, -0.01, 0.00, 0.04, 82.994, 0.694, 1.660, 0.000, -0.06, 0.70, 0.23, -0.06, 0.71, 0.21, 0.391, 0.031, -10.303, 0.515, -0.267, -10.294
42.23858355, -83.55772545, 186.019, 0.026, 0.10, -0.01, 0.00, 0.10, 83.007, 0.699, 1.672, -4.972, -0.28, 1.21, 0.25, -0.28, 1.22, 0.21, 0.246, -0.095, -9.876, 0.367, -0.383, -9.866
42.23858358, -83.55772510, 186.019, 0.054, 0.17, -0.01, 0.00, 0.17, 83.008, 0.693, 1.664, -2.543, -0.01, -0.36, 0.55, -0.02, -0.34, 0.56, 0.390, 0.060, -9.422, 0.504, -0.214, -9.414
42.23858361, -83.55772460, 186.019, 0.094, 0.24, -0.01, 0.00, 0.24, 83.007, 0.708, 1.676, -1.554, 0.24, 0.49, 0.18, 0.23, 0.50, 0.16, 0.424, 0.051, -10.107, 0.549, -0.244, -10.099
42.23858367, -83.55772390, 186.018, 0.150, 0.34, -0.01, 0.01, 0.34, 83.019, 0.727, 1.671, -0.978, -0.32, 0.55, -0.25, -0.32, 0.54, -0.27, 0.531, -0.003, -9.968, 0.658, -0.294, -9.956
42.23858375, -83.55772291, 186.015, 0.230, 0.47, -0.01, 0.01, 0.47, 83.022, 0.764, 1.677, -0.692, -0.09, 0.35, 0.31, -0.09, 0.36, 0.30, 0.810, -0.033, -9.838, 0.941, -0.320, -9.821
42.23858387, -83.55772152, 186.011, 0.344, 0.68, 0.00, 0.03, 0.68, 83.012, 0.869, 1.680, -0.366, -0.01, 1.16, 0.19, -0.01, 1.17, 0.16, 1.236, -0.013, -9.833, 1.386, -0.301, -9.809
42.23858404, -83.55771953, 186.006, 0.508, 0.96, 0.00, 0.02, 0.96, 83.001, 0.950, 1.693, -0.181, 0.15, 0.67, 0.39, 0.15, 0.68, 0.37, 1.364, -0.004, -9.817, 1.526, -0.293, -9.789
42.23858428, -83.55771684, 186.002, 0.729, 1.25, 0.00, 0.01, 1.25, 83.007, 0.984, 1.704, -0.040, 0.06, 0.33, 0.37, 0.05, 0.34, 0.36, 1.250, 0.001, -9.872, 1.419, -0.292, -9.845
42.23858456, -83.55771354, 186.000, 1.001, 1.46, 0.00, 0.01, 1.46, 83.014, 0.934, 1.718, 0.084, 0.02, 0.14, -0.15, 0.02, 0.14, -0.15, 0.963, 0.003, -9.880, 1.124, -0.293, -9.859
42.23858489, -83.55770982, 185.998, 1.310, 1.61, 0.00, 0.01, 1.61, 83.017, 0.882, 1.704, -0.014, -0.32, -0.30, 0.23, -0.33, -0.29, 0.24, 0.541, -0.004, -9.682, 0.690, -0.291, -9.668
42.23858524, -83.55770579, 185.996, 1.642, 1.71, 0.00, 0.01, 1.71, 83.021, 0.847, 1.688, 0.147, -0.12, 0.54, 0.06, -0.12, 0.54, 0.04, 0.429, -0.002, -9.814, 0.574, -0.291, -9.802
42.23858560, -83.55770157, 185.993, 1.992, 1.79, 0.01, 0.02, 1.79, 83.008, 0.802, 1.694, 0.232, 0.10, 0.13, 0.24, 0.09, 0.14, 0.24, 0.363, 0.020, -9.772, 0.500, -0.269, -9.762
42.23858598, -83.55769717, 185.990, 2.358, 1.87, 0.01, 0.01, 1.87, 82.993, 0.791, 1.715, 0.262, 0.09, 0.52, -0.13, 0.10, 0.52, -0.15, 0.526, -0.056, -9.704, 0.660, -0.346, -9.690
42.23858639, -83.55769253, 185.986, 2.742, 1.98, 0.00, 0.03, 1.98, 82.989, 0.834, 1.699, 0.144, -0.26, 0.03, -0.09, -0.25, 0.03, -0.09, 0.639, 0.011, -9.595, 0.779, -0.274, -9.581
42.23858682, -83.55768759, 185.982, 3.153, 2.12, 0.01, 0.03, 2.12, 82.972, 0.822, 1.708, 0.340, 0.04, 0.08, 0.00, 0.04, 0.08, 0.00, 0.640, 0.035, -9.753, 0.780, -0.255, -9.740
42.23858729, -83.55768230, 185.979, 3.591, 2.27, 0.01, 0.02, 2.27, 82.972, 0.827, 1.706, 0.182, -0.25, 0.43, 0.23, -0.26, 0.44, 0.21, 0.735, 0.020, -9.607, 0.873, -0.266, -9.592
42.23858779, -83.55767664, 185.976, 4.061, 2.43, 0.02, 0.03, 2.43, 82.952, 0.800, 1.689, 0.363, 0.29, -0.65, -0.76, 0.30, -0.67, -0.73, 0.802, 0.063, -9.864, 0.940, -0.227, -9.849
42.23858831, -83.55767059, 185.973, 4.563, 2.59, 0.02, 0.02, 2.59, 82.944, 0.781, 1.724, 0.391, 0.45, 0.06, -0.32, 0.45, 0.06, -0.31, 0.873, 0.027, -9.701, 1.005, -0.264, -9.685
42.23858888, -83.55766417, 185.970, 5.097, 2.74, 0.01, 0.02, 2.74, 82.953, 0.774, 1.713, 0.207, -0.66, -0.21, 0.24, -0.66, -0.20, 0.24, 0.632, -0.014, -9.867, 0.765, -0.308, -9.853
42.23858948, -83.55765742, 185.967, 5.658, 2.86, 0.01, 0.03, 2.86, 82.948, 0.751, 1.675, 0.278, -0.06, -0.80, 0.03, -0.07, -0.80, 0.05, 0.668, 0.047, -9.653, 0.794, -0.235, -9.641
42.23859010, -83.55765042, 185.962, 6.240, 2.96, 0.02, 0.04, 2.96, 82.934, 0.734, 1.645, 0.417, -0.08, -0.16, 0.21, -0.08, -0.16, 0.21, 0.565, 0.042, -9.755, 0.690, -0.238, -9.744
42.23859074, -83.55764319, 185.957, 6.842, 3.05, 0.02, 0.03, 3.05, 82.935, 0.725, 1.699, 0.437, 0.62, 0.47, 0.06, 0.62, 0.47, 0.06, 0.373, -0.096, -9.559, 0.493, -0.380, -9.547
42.23859141, -83.55763577, 185.952, 7.460, 3.13, 0.02, 0.03, 3.13, 82.931, 0.751, 1.713, 0.440, 0.14, -0.59, -0.15, 0.14, -0.59, -0.13, 0.337, 0.120, -9.746, 0.465, -0.171, -9.740
42.23859210, -83.55762817, 185.948, 8.092, 3.20, 0.02, 0.02, 3.20, 82.931, 0.745, 1.683, 0.278, -0.14, -0.39, 0.28, -0.14, -0.38, 0.29, 0.428, 0.017, -9.368, 0.550, -0.258, -9.359
42.23859280, -83.55762039, 185.943, 8.741, 3.28, 0.03, 0.02, 3.28, 82.910, 0.733, 1.675, 0.532, 0.14, -0.15, -0.37, 0.15, -0.16, -0.37, 0.359, 0.043, -9.726, 0.484, -0.241, -9.718
42.23859351, -83.55761242, 185.937, 9.405, 3.36, 0.02, 0.03, 3.36, 82.913, 0.785, 1.703, 0.390, 0.13, 0.14, 0.08, 0.13, 0.14, 0.08, 0.410, 0.038, -9.918, 0.546, -0.257, -9.908
42.23859425, -83.55760426, 185.934, 10.084, 3.44, 0.02, 0.02, 3.44, 82.911, 0.803, 1.700, 0.289, -0.18, -0.86, -0.13, -0.18, -0.87, -0.10, 0.340, 0.021, -9.581, 0.474, -0.264, -9.571
